,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
31,0,96.67,96.68,0,0,0,0,49.75,34.5,0,28.55,0,64.71,2.98,34.76,30.51,75.25,30.47,88.29,20.82,83.64,20.72,75.24,32.95,32.05,0,94.28,94.3,0,0,0,0,49.96,0,0,32.29,0,80.61,2.98,36.04,30.63,73.83,30.59,88.02,28.65,62.19,28.53,70.78,33.17,32.27,0,95.32,95.34,0,0,0,0,0,0,0,31.58,0,63.2,2.98,35.48,31.8,75.82,31.8,63.68,27.43,61.87,27.31,72.06,34.06,33.16,1,86.21,0,86.21,0,0,0,0,0,0,33.26,0,0,2.98,40.27,30.71,75.46,30.71,67.48,33.1,63.68,32.97,71.7,44.73,31.9,1,91.35,91.37,0,0,0,0,49.07,35.01,0,30.89,0,79.42,2.98,37.59,28.17,74.04,28.13,87.26,22.65,84.6,22.53,69.61,30.91,30.01,0,87.4,87.41,0,0,0,0,48.85,0,0,0,0,0,2.98,39.65,28.47,73.84,28.43,87.98,34.48,62.7,34.48,58.05,43.77,29.83,0,95.7,95.72,0,0,0,0,0,34.87,0,28.82,0,60.97,2.98,35.28,31.66,74.29,31.66,67.71,21.14,83.33,21.04,74.72,33.91,33.01,0,96.46,96.48,0,0,0,0,49.32,34.91,0,30.5,0,76.26,2.98,34.87,29.33,74.5,29.29,87.95,20.51,82.65,20.4,68.94,31.84,30.94,0,96.43,96.45,0,0,0,0,48.45,36.15,0,0,0,78.15,2.98,34.89,29.12,73.85,29.08,89.37,26.25,86.13,26.25,57.63,31.62,30.72,0,85.47,85.49,0,0,0,0,48.58,0,0,0,0,0,2.98,40.64,28.49,75.41,28.45,88.5,36.34,62.79,36.34,61.07,45.4,29.85,1,93.95,93.97,0,0,0,0,0,0,0,32.92,0,0,2.98,36.22,30.3,75.6,30.3,68.05,32.25,63.3,32.13,72.09,43.85,31.49,0,88.98,89,0,0,0,0,0,0,0,0,0,0,2.98,38.83,30.5,74.28,30.5,66.61,33.59,64.12,33.59,57.76,42.71,31.69,0,94.4,94.42,0,0,0,0,49.64,34.67,0,31.02,0,91.52,2.98,35.97,29.22,74.93,29.18,87.23,22.54,85.08,22.43,69.09,31.82,30.92,1,117.29,0,0,0,0,0,49.17,0,0,0,0,70.18,2.99,23.31,28.6,73.22,28.56,87.29,28.74,61.11,28.74,57.52,31.07,30.17
32,0,88.17,88.19,0,0,0,0,49.51,0,0,0,0,0,2.98,39.25,28.04,74.47,28,86.29,34.09,64.48,34.09,56.12,43.27,29.41,0,95.56,95.58,0,0,0,0,49.9,35.06,0,30.54,0,74.11,2.98,35.36,30.69,74.72,30.65,88.19,21.68,83.56,21.57,69.81,33.18,32.28,0,95.75,95.77,0,0,0,0,50.63,0,0,31.83,0,75.36,2.98,35.25,29.98,73.22,29.94,86.06,27.3,62.04,27.18,71.05,32.49,31.59,1,86.49,0,86.49,0,0,0,48.84,0,0,33.19,0,0,2.98,40.12,28.42,75.01,28.38,87.94,33.16,62.85,33.03,72,44.67,29.79,1,91.98,92,0,0,0,0,48.64,35.58,0,29.84,0,76.87,2.98,37.26,27.68,73.38,27.64,87.57,22.59,83.55,22.48,73.01,31.11,30.21,0,90.98,91,0,0,0,0,50.03,0,0,32.89,0,0,2.98,37.78,27.86,74.26,27.82,85.1,29.74,60.93,29.61,69.69,41.27,29.24,0,95.79,95.81,0,0,0,0,0,36.74,0,0,0,58.4,2.98,35.23,32.12,73.14,32.12,66.05,26.69,85.52,26.69,58.32,34.35,33.45,0,95.95,95.97,0,0,0,0,49.92,34.77,0,30.73,0,76.22,2.98,35.15,29.58,71.1,29.54,87.03,20.67,83.05,20.56,68.18,32.09,31.19,0,96.76,96.78,0,0,0,0,49.33,34.17,0,30.41,0,74.76,2.98,34.71,29.23,73.41,29.19,87.83,20.39,83.78,20.28,68.95,31.73,30.83,0,109.37,0,0,0,0,0,48.63,0,0,0,0,0,2.99,27.81,27.97,74.75,27.93,87.89,33.35,62.02,33.35,59.24,40.39,29.34,1,93.14,93.16,0,0,0,0,49.17,0,0,33.02,0,0,2.98,36.64,28.37,74.68,28.34,87.27,32.5,62.8,32.37,71.98,44.04,29.74,0,90.46,90.47,0,0,0,0,48.94,0,0,32.85,0,0,2.98,38.06,28.4,73.77,28.36,87.73,29.88,62.91,29.75,69.96,41.52,29.77,1,93.95,93.97,0,0,0,0,49.78,35.53,0,29.64,0,90.44,2.98,36.22,29.59,74.82,29.55,87.31,22.82,83.87,22.72,73.88,32.18,31.28,1,119.6,0,0,0,0,0,49.74,34.87,0,29.98,0,57.37,2.99,21.98,28.45,71.97,28.41,86.46,18.61,80.8,18.5,68.58,30.86,29.96
33,0,90.28,90.29,0,0,0,0,49.62,0,0,33.4,0,0,2.98,38.15,27.51,70.75,27.47,85.54,30,61.66,29.87,68.06,41.69,28.88,1,96.11,96.13,0,0,0,0,49.96,35.55,0,30.29,0,70.44,2.98,35.06,30.81,69.1,30.77,88.18,21.31,82.32,21.2,70.27,33.29,32.39,0,95.79,95.81,0,0,0,0,50.2,35.69,0,30.32,0,72.51,2.98,35.23,30.15,72.34,30.11,87.05,20.65,81.42,20.54,69.52,32.64,31.74,1,87.05,0,87.05,0,0,0,48.66,0,0,32.21,0,0,2.98,39.84,27.92,73.13,27.88,87.78,33.23,61.51,33.11,75.64,44.45,29.28,1,93.1,93.12,0,0,0,0,0,35.17,0,30.94,0,65.39,2.98,36.67,29.35,73.27,29.35,60.18,21.96,83.65,21.85,68.76,30.89,29.99,0,90.77,90.79,0,0,0,0,49.36,36.33,0,30.71,0,0,2.98,37.9,27.38,73.12,27.34,85.93,22.92,82.54,22.81,70.48,41.09,28.75,0,96.71,96.73,0,0,0,0,50.77,34.68,0,30.94,0,68.17,2.98,34.74,30.3,72.21,30.26,86.08,20.49,83,20.37,67.42,32.77,31.87,0,97.49,97.5,0,0,0,0,50.48,34.75,0,31.07,0,69.84,2.97,34.32,29.62,71.54,29.58,85.98,19.98,82.39,19.86,66.35,32.09,31.19,0,97.93,97.95,0,0,0,0,0,0,0,32.22,0,54.36,2.97,34.08,31.28,71.67,31.28,65.15,26.26,63.81,26.14,68.62,33.49,32.59,0,111.66,0,0,0,0,0,48.93,35.78,0,31.25,0,0,2.99,26.52,27.43,73.02,27.4,86.78,22.9,83.51,22.79,68.64,39.06,28.8,1,114.87,0,0,0,0,0,49.47,0,0,31.94,0,0,2.98,24.7,27.83,73.53,27.79,86.17,32.66,61.52,32.54,76.02,43.91,29.2,0,90.99,91.01,0,0,0,0,49.43,0,0,33.01,0,0,2.98,37.78,27.84,72.38,27.8,86.24,29.77,61.99,29.65,69.29,41.29,29.22,1,95.12,95.14,0,0,0,0,49.57,0,0,0,0,86.29,2.98,35.59,29.81,70.11,29.77,87.95,31.64,63.78,31.64,57.58,32.38,31.48,1,99.35,99.37,0,0,0,0,50,34.42,0,30.38,0,65.44,2.97,33.32,28.83,72.79,28.79,85.86,18.91,81.87,18.8,67.56,31.28,30.38
34,1,93.57,93.59,0,0,0,0,49.42,0,0,32.66,0,0,2.98,36.42,27,71.48,26.96,85.42,28.72,60.97,28.6,69.53,39.85,28.37,1,93.07,93.09,0,0,0,0,0,35.91,0,30.53,0,0,2.98,36.68,37.81,69.61,37.81,61.61,22.09,82.47,21.98,70.23,39.9,39,0,97.3,97.32,0,0,0,0,50.93,35.75,0,29.68,0,66.18,2.97,34.42,30.17,69.82,30.13,85.64,20.2,80.86,20.09,71.11,32.63,31.73,1,0,0,109.53,0,0,0,0,38.8,0,0,0,0,2.99,27.72,29.41,72.14,29.41,64.13,30.22,85.18,30.22,57.54,40.53,30.6,1,94.41,94.43,0,0,0,0,49.83,35.49,0,30.35,0,57.21,2.98,35.97,27.11,69.83,27.07,84.74,21.5,82.62,21.39,70.27,30.79,29.89,0,93.71,93.73,0,0,0,0,49.83,35.95,0,30.53,0,0,2.98,36.34,26.83,69.31,26.79,84.45,21.73,82.03,21.62,69.91,39.53,28.2,0,96.45,96.47,0,0,0,0,51.1,0,0,32.37,0,68.78,2.98,34.88,30.5,69.63,30.46,85.62,27.14,62.56,27.02,68.98,32.97,32.07,0,98.24,98.26,0,0,0,0,50.23,35.01,0,30.65,0,65.41,2.97,33.92,29.7,69.82,29.66,86.55,19.59,81.56,19.48,67.36,32.16,31.26,0,96.58,96.6,0,0,0,0,0,0,0,31.81,0,55.36,2.98,34.81,31.92,72.3,31.92,60.33,26.88,61.06,26.76,70.71,34.14,33.24,1,90.26,90.27,0,0,0,0,0,36.18,0,31.62,0,0,2.98,38.16,29.22,71.32,29.22,62.56,23.87,83.77,23.75,68.34,41.97,30.41,1,116.86,0,0,0,0,0,49.62,38.97,0,0,0,0,2.98,23.56,27.3,71.9,27.26,85.34,31.44,86.07,31.44,56.1,43.54,28.67,0,91.84,91.85,0,0,0,0,49.53,0,0,31.87,0,0,2.98,37.33,27.31,71.08,27.27,85.52,29.71,61.53,29.59,73.3,40.89,28.69,1,94.54,94.56,0,0,0,0,0,0,0,0,0,67.79,2.98,35.9,32.71,70.98,32.71,63.09,31.99,61.57,31.99,57,34.99,34.09,1,98.36,98.38,0,0,0,0,0,34.83,0,29.66,0,53.81,2.97,33.85,30.71,69.9,30.71,64.37,19.34,81.6,19.23,70.31,32.92,32.02
35,1,92,92.02,0,0,0,0,49.38,0,0,32.29,0,0,2.98,37.25,26.47,69.31,26.43,84.97,29.64,60.57,29.52,71.75,40.83,27.85,1,95.01,95.03,0,0,0,0,51.76,36.03,0,30.35,0,51.76,2.98,35.65,33.38,70.74,33.34,87.14,21.61,81.77,21.5,70.37,35.78,34.88,0,97.09,97.11,0,0,0,0,51.03,36.7,0,0,0,66.3,2.97,34.54,30.33,70.79,30.28,85.57,26.14,85.03,26.14,57.49,32.79,31.89,1,0,0,109.85,0,0,0,49.96,38.63,0,0,0,0,2.99,27.54,27.43,70.94,27.39,84.81,30.15,85.43,30.15,55.63,40.42,28.8,1,91.56,91.57,0,0,0,0,49.43,0,0,32.22,0,56.52,2.98,37.48,26.61,70.23,26.57,85.01,29.82,63.22,29.7,72.18,30.84,29.94,0,92.13,92.15,0,0,0,0,48.97,36.13,0,29.97,0,0,2.98,37.18,26.36,69.08,26.32,85.65,22.66,82.64,22.56,72.64,40.44,27.73,0,93.1,93.12,0,0,0,0,50.34,0,0,33.03,0,0,2.98,36.66,28.16,68.96,28.12,84.78,28.63,61.33,28.5,68.06,39.96,29.53,0,97.23,97.25,0,0,0,0,50.05,35,0,30.61,0,67.61,2.97,34.46,29.92,70.2,29.88,87.13,20.02,82,19.91,67.91,32.38,31.48,0,97.37,97.39,0,0,0,0,51.1,0,0,0,0,67.48,2.97,34.38,30.01,70.41,29.97,85.13,26.69,61.27,26.58,72.23,32.48,31.58,1,91,91.01,0,0,0,0,49.93,36.38,0,31.75,0,0,2.98,37.78,26.98,70.75,26.94,84.42,23.52,83.07,23.4,67.56,41.63,28.35,1,117.93,0,0,0,0,0,49.33,36.64,0,31.94,0,0,2.98,22.94,26.79,70.28,26.75,85.39,24.14,83.21,24.02,67.49,42.31,28.16,0,92.85,92.87,0,0,0,0,49.51,36.29,0,30.75,0,0,2.98,36.8,26.79,69.11,26.75,85.03,22.09,81.78,21.97,69.52,40.05,28.16,1,95.08,95.1,0,0,0,0,51.39,0,0,32.67,0,80.4,2.98,35.61,30.54,69.85,30.5,85.07,28.79,60.63,28.67,69.56,33.08,32.18,1,98.4,98.42,0,0,0,0,50.75,34.68,0,30.14,0,63.72,2.97,33.83,29.45,70.99,29.4,84.24,19.27,81.78,19.17,68.73,31.9,31
36,1,92.42,92.43,0,0,0,0,47.08,36.29,0,29.81,0,0,2.98,37.03,22.75,86.55,22.82,85.61,22.59,82.29,22.48,73.08,40.33,24.49,1,95.61,95.63,0,36.39,0,0,50.86,35.1,0,29.63,0,75.1,2.98,35.33,30.07,89.73,30.14,85.78,21.84,83.63,21.74,72.92,33.02,32.12,0,96.44,96.46,0,35.33,0,0,50.22,36.95,0,0,0,71.32,2.98,34.88,29.68,91.2,29.74,86.66,26.38,84.82,26.38,55.07,32.58,31.68,1,0,0,110.71,0,0,0,49.83,36.25,0,31.73,0,0,2.99,27.06,26.91,70.23,26.87,84.53,23.47,83.25,23.35,67.56,39.87,28.28,1,88.32,88.34,0,33.42,0,0,48.22,0,0,0,0,60.2,2.98,39.17,22.95,87.68,23,83.72,34.65,61.87,34.65,55.34,30.37,29.47,0,90.86,90.88,0,33.77,0,0,47.23,38.54,0,0,0,0,2.98,37.85,22.65,86.82,22.71,85.23,29.38,84.84,29.38,56.91,41.53,24.39,0,91.91,91.93,0,34.5,0,0,48.67,0,0,31.73,0,0,2.98,37.29,24.16,87.11,24.23,84.11,29.54,61.35,29.42,73.65,40.76,25.93,0,96.75,96.77,0,36.84,0,0,0,0,0,32.23,0,64.61,2.98,34.72,30.62,89.46,30.73,63.46,26.76,62.6,26.64,69.08,33.1,32.2,1,95.91,95.93,0,0,0,0,50.72,0,0,31.03,0,73.35,2.98,35.17,30.4,70.92,30.35,86.28,30.18,59.84,30.18,56.26,32.89,31.99,1,90.6,90.61,0,0,0,0,49.81,36.33,0,31.19,0,0,2.98,37.98,26.46,69.31,26.41,84.13,23.94,83.57,23.83,69.89,41.9,27.83,1,117.5,0,0,0,0,0,49.14,36.82,0,31.96,0,0,2.98,23.19,26.28,69.39,26.24,85.24,24.47,83.21,24.35,67.75,42.72,27.65,0,91.55,91.57,0,33.96,0,0,47.71,36.1,0,30.77,0,0,2.98,37.48,22.92,86.78,22.98,84.63,22.85,82.89,22.74,70.21,40.83,24.67,1,94.63,94.65,0,0,0,0,50.46,0,0,31.9,0,79.55,2.98,35.85,30.85,72.12,30.81,87.26,29.01,61.86,28.9,72.51,33.38,32.48,1,98.78,98.8,0,36.57,0,0,50.74,34.78,0,29.78,0,65.31,2.97,33.62,28.62,88.01,28.69,85.16,19.15,81.51,19.05,69.76,31.52,30.62
37,1,92.02,92.04,0,36.99,0,0,46.73,36.03,0,31.03,0,0,2.98,37.24,22.02,87.14,22.09,85.48,22.62,82.79,22.5,69.11,40.6,23.75,1,95.8,95.82,0,36.29,0,0,50.86,36.88,0,0,0,76.02,2.98,35.23,29.98,89.82,30.05,85.68,27.5,86.07,27.5,57.35,32.93,32.03,0,96.96,96.98,0,36.69,0,0,50.58,34.29,0,30.96,0,70.2,2.98,34.61,29.42,88.54,29.5,85.7,20.39,83.58,20.27,67.11,32.35,31.45,1,0,0,111.07,34.58,0,0,48.41,36.25,0,31.68,0,0,2.99,26.86,23,85.81,23.06,83.43,23.25,83.03,23.14,67.53,39.65,24.76,1,90.41,90.42,0,34.4,0,0,47.14,0,0,33.3,0,72.53,2.98,38.08,22.09,85.21,22.16,84.83,30.58,59.95,30.45,69.01,30.63,29.73,0,90.78,90.79,0,33.24,0,0,46.97,37.56,0,0,0,0,2.98,37.89,21.88,86.92,21.94,84.91,29.73,87.05,29.73,56.5,41.67,23.61,0,92.52,92.54,0,33.74,0,0,48.39,36.19,0,30.63,0,0,2.98,36.97,23.4,87.62,23.46,83.87,22.15,82.03,22.04,69.99,40.13,25.16,0,97.23,97.25,0,34.39,0,0,50.4,0,0,31.85,0,70.02,2.97,34.46,29.39,92.53,29.46,86.01,26.69,61.96,26.57,70.36,32.28,31.38,1,96.73,96.75,0,36.37,0,0,50.72,37.35,0,31.06,0,72.55,2.98,34.73,29.37,89.07,29.44,85.37,26.23,83.93,26.23,52.59,32.3,31.4,1,90.31,90.32,0,33.62,0,0,48.38,36.42,0,31.18,0,0,2.98,38.14,22.54,86.96,22.6,83.02,24.13,83.6,24.02,70.12,42.1,24.29,1,118.51,0,0,33.95,0,0,47.6,36.06,0,32.06,0,0,2.98,22.61,22.45,86.33,22.52,84.36,24.49,84.61,24.37,67.42,42.52,24.2,0,92.51,92.52,0,34.03,0,0,47.31,36.02,0,30.94,0,0,2.98,36.98,22.09,85.83,22.16,84.53,22.46,82.65,22.35,69.26,40.37,23.84,1,95.39,95.41,0,37.26,0,0,50.01,35.55,0,29.44,0,80.48,2.98,35.45,29.73,87.81,29.81,87.12,22.2,83.2,22.09,73.88,32.72,31.82,1,97.72,97.74,0,35.42,0,0,50.71,34.46,0,30.13,0,69.79,2.97,34.2,28.6,89.98,28.67,86.77,19.53,82.42,19.43,69.02,31.49,30.59
38,1,91.92,91.93,0,36.57,0,0,0,35.9,0,30.64,0,0,2.98,37.29,25.51,92.27,25.61,66.75,22.89,83.29,22.78,70.69,40.72,26.88,1,95.37,95.39,0,35.72,0,0,50.44,0,0,32.81,0,78.26,2.98,35.46,29.94,90.8,30.01,86.49,28.21,62.26,28.08,68.45,32.9,32,0,97.53,97.55,0,35.83,0,0,50.65,0,0,31.79,0,69.95,2.97,34.3,29.27,89.94,29.34,85.4,26.67,62.06,26.55,70.59,32.18,31.28,1,0,0,111.47,33.93,0,0,48.28,36.07,0,31.68,0,0,2.99,26.63,22.21,86.11,22.27,82.87,23.05,83.15,22.94,67.34,39.42,23.97,1,88.23,88.25,0,33.31,0,0,47.51,0,0,33.9,0,68.57,2.98,39.22,21.31,86.22,21.37,83.38,31.68,60.14,31.54,67.84,31.75,30.85,0,92.12,92.14,0,33.16,0,0,46.84,34.79,0,30.19,0,0,2.98,37.18,21.06,86.23,21.12,84.32,22.97,85.3,21.89,71.27,40.69,22.79,0,91.89,91.91,0,33.53,0,0,47.87,36.29,0,30.81,0,0,2.98,37.3,22.62,87.17,22.68,84.04,22.48,82.19,22.37,69.73,40.54,24.36,0,96.69,96.71,0,35.5,0,0,50.28,0,0,32.4,0,73.35,2.98,34.75,29.28,90.52,29.35,86.14,26.85,62.16,26.73,68.57,32.2,31.3,1,96.98,97,0,37.13,0,0,49.42,36.93,0,31.05,0,72.57,2.98,34.6,29.21,87.54,29.29,87.75,26.16,84.65,26.16,55.36,32.14,31.24,1,89.29,89.31,0,33.45,0,0,47.9,0,0,33.09,0,0,2.98,38.67,21.75,86.44,21.81,83.11,31.91,62.12,31.78,71.11,43.06,23.49,1,118.64,0,0,33.74,0,0,47.42,39.31,0,33.36,0,0,2.98,22.54,21.64,85.86,21.7,83.86,33.49,87.52,33.36,71.69,52.02,23.38,0,91.23,91.25,0,33.43,0,0,47.16,36.12,0,30.46,0,0,2.98,37.65,21.32,86.03,21.38,84.02,23.26,83.26,23.15,71.67,41.13,23.05,1,96.01,96.03,0,35.12,0,0,50.46,35.84,0,29.84,0,78.04,2.98,35.12,29.68,91.57,29.75,86.18,21.63,82.14,21.52,72.02,32.62,31.72,1,97.71,97.73,0,35.28,0,0,50.55,0,0,31.55,0,72.17,2.97,34.2,28.51,90.14,28.58,86.63,25.97,63.79,25.86,70.69,31.41,30.51
39,1,91.28,91.3,0,35.61,0,0,47.29,36.03,0,30.53,0,0,2.98,37.63,21.04,88.21,21.09,83.5,23.28,83.45,23.17,71.44,41.14,22.75,1,95.71,95.73,0,35.4,0,0,50.14,0,0,32.66,0,77.75,2.98,35.27,29.88,91.29,29.94,87.02,28.15,61.87,28.03,68.95,32.81,31.91,0,97.12,97.14,0,34.9,0,0,50.01,0,0,31.3,0,72.4,2.97,34.52,29.22,91.49,29.28,86.6,26.9,62.07,26.78,72.48,32.12,31.22,1,0,0,111.65,33.37,0,0,47.86,35.71,0,31.1,0,0,2.99,26.53,21.45,86.27,21.51,82.88,23.16,83.9,23.04,69.4,39.29,23.19,1,118.3,0,0,34.56,0,0,48.64,35.29,0,30.74,0,75.53,2.99,22.73,24.92,87.77,24.98,84.92,19.51,80.97,19.39,66.96,31.01,30.11,1,95.74,95.76,0,34.32,0,0,48.06,0,0,30.2,0,109.26,2.98,35.26,25.65,88.91,25.72,86.72,28.53,63.07,21.75,71.11,28.76,27.86,0,91.47,91.49,0,32.66,0,0,46.88,35.7,0,30.31,0,0,2.98,37.53,21.97,87.93,22.02,85.15,23.08,83.82,22.97,71.97,40.86,23.69,0,96.48,96.5,0,35.89,0,0,50.33,0,0,31.2,0,75.37,2.98,34.86,29.18,89.73,29.25,85.95,27.16,60.49,27.04,73.08,32.11,31.21,1,97.09,97.11,0,35.86,0,0,49.97,33.49,0,31.97,0,71.83,2.97,34.54,29.07,89.67,29.14,86.55,15.7,80.29,15.44,81.62,31.98,31.08,1,88.47,88.48,0,33.43,0,0,47.58,0,0,33.07,0,0,2.98,39.1,20.93,85.65,20.99,82.86,32.43,61.79,32.3,71.72,43.61,22.67,1,117.5,0,0,33.05,0,0,47.05,0,0,37.35,0,0,2.99,23.19,20.9,86.23,20.96,83.8,54.85,62.53,54.69,76.86,65.16,22.63,0,95.98,96,0,34.02,0,0,48.18,35.22,0,29.61,0,107.89,2.98,35.13,25.5,89.24,25.56,86.36,21.96,83.55,21.85,73.1,28.6,27.7,1,95.49,95.51,0,35.87,0,0,50.33,37.23,0,0,0,81.32,2.98,35.39,29.64,90.23,29.71,86.41,27.81,85.74,27.81,56.56,32.61,31.71,1,97.63,97.65,0,35.61,0,0,50.51,0,0,31.27,0,73.76,2.97,34.24,28.39,89.44,28.46,85.49,26.11,62.86,25.99,71.8,31.31,30.41
40,1,96.44,96.46,0,35.73,0,0,48.97,35.01,0,29.76,0,105.72,2.98,34.88,25.52,89.15,25.58,84.9,21.65,83.6,21.54,72.32,28.61,27.71,1,94.99,95.01,0,35.68,0,0,50.19,0,0,31.97,0,80.85,2.98,35.66,29.82,90.74,29.89,86.87,28.48,60.85,28.37,71.74,32.79,31.89,0,96.86,96.88,0,35.26,0,0,49.86,0,0,31.66,0,74.39,2.98,34.66,29.12,90.77,29.19,86.81,26.97,60.94,26.85,71.3,32.04,31.14,1,0,0,111.07,32.93,0,0,47.45,0,0,32.75,0,0,2.99,26.85,20.69,86.22,20.75,82.86,30.17,62.09,30.05,70.64,39.64,22.42,1,118.6,0,0,34.23,0,0,48.99,35.24,0,30.47,0,76.27,2.99,22.56,24.99,88.38,25.05,84.34,19.34,80.91,19.24,67.71,30.93,30.03,1,94.62,94.64,0,35.78,0,0,0,0,0,30.53,0,96.05,2.98,35.86,28.58,89.32,28.69,60.33,29.01,61.33,21.92,70.2,31.23,30.33,0,91.56,91.58,0,31.87,0,0,46.52,35.67,0,30.05,0,0,2.98,37.48,21.25,88.45,21.31,85.06,23.21,84.01,23.1,72.95,40.88,22.96,0,96.83,96.85,0,35.02,0,0,50.08,35.13,0,29.66,0,73.94,2.98,34.68,29.06,91.12,29.13,86.32,20.57,82.32,20.46,71.55,31.97,31.07,1,97.33,97.35,0,35.3,0,0,49.71,33.21,0,31.94,0,71.66,2.97,34.41,28.97,90.54,29.03,86.94,15.47,80.53,15.21,80.66,31.87,30.97,1,93.72,93.73,0,35.35,0,0,49.37,0,0,32.21,0,118.23,2.98,36.34,25.9,87.4,25.96,84.52,30.38,60.82,30.26,72.8,29.11,28.21,1,118.65,0,0,34.66,0,0,48.99,0,0,32.86,0,118.97,2.98,22.53,25.88,88.55,25.94,85.22,30.38,61.28,30.26,70.45,29.08,28.18,0,94.91,94.93,0,35.18,0,0,0,37.09,0,0,0,96.82,2.98,35.7,28.27,90.06,28.38,64.66,28.17,86.35,28.17,57.9,30.93,30.03,1,95.45,95.47,0,35.82,0,0,50.1,34.83,0,31.5,0,80.67,2.98,35.42,29.58,90.26,29.65,86.79,21.69,83.96,21.58,66.57,32.55,31.65,1,97.48,97.5,0,35.47,0,0,50.56,0,0,31.51,0,67.99,2.97,34.32,29.61,90.89,29.72,63.52,26.2,61.66,26.08,71.06,32.09,31.19
41,1,95.17,95.19,0,35.51,0,0,49.52,0,0,0,0,100.18,2.98,35.57,27.73,73.34,27.69,85.96,31.48,63.73,31.48,57.55,30.39,29.49,1,95.51,95.53,0,0,0,0,50.35,35.81,0,30.06,0,72.8,2.98,35.38,30.9,72.54,30.86,87.51,21.68,82.24,21.57,71.39,33.39,32.49,0,96.25,96.27,0,0,0,0,50.15,0,0,31.35,0,72.65,2.98,34.99,30.11,73.14,30.07,87.11,27.29,60.63,27.18,72.69,32.6,31.7,1,0,0,116.83,34.96,0,0,49.41,0,0,32.25,0,99.29,2.99,23.58,25.27,87.44,25.33,83.82,27.21,61.14,27.09,69.46,28.33,27.43,1,119.32,0,0,33.45,0,0,48.81,34.46,0,30.19,0,75.79,2.99,22.14,25.05,89.74,25.11,84.72,19.11,82,19,68.39,31.43,30.53,1,95.3,95.32,0,0,0,0,49.86,0,0,31.72,0,97.12,2.98,35.5,28.12,71.71,28.08,85.69,28.8,61.94,28.34,72.61,30.75,29.85,0,95.02,95.04,0,0,0,0,49.33,37.56,0,0,0,101.45,2.98,35.64,27.48,72.23,27.44,86.07,27.96,85.28,27.96,57.12,30.14,29.24,0,97.52,97.54,0,0,0,0,49.93,35.25,0,29.74,0,66.83,2.97,34.3,29.96,73.75,29.92,87.41,20.17,81.7,20.07,70.91,32.42,31.52,1,97.4,97.41,0,35.33,0,0,0,33.24,0,31.3,0,64.78,2.97,34.37,30.12,91.65,30.23,64.56,15.55,80.55,15.29,81.41,32.59,31.69,1,95.66,95.68,0,35.34,0,0,49.75,36.5,0,30.71,0,109.39,2.98,35.3,25.84,87.37,25.91,83.74,21.99,81.31,21.88,69.57,28.99,28.09,1,117.26,0,0,35.36,0,0,49.32,0,0,32.67,0,115.35,2.98,23.33,26.01,87.48,26.08,84.74,29.98,60.84,29.85,70.73,29.2,28.3,0,94.94,94.96,0,0,0,0,0,0,0,32.66,0,79.9,2.98,35.69,30.81,72.73,30.81,63.2,28.75,63.87,28.63,69.55,33.15,32.25,1,95.08,95.09,0,0,0,0,50.61,0,0,32.86,0,77.93,2.98,35.61,30.63,74,30.58,86.72,28.4,63.42,28.27,68.45,33.15,32.25,1,96.41,96.43,0,0,0,0,50.79,0,0,30.98,0,60.23,2.98,34.9,31.34,72.87,31.34,64.84,26.8,60.65,26.68,73.46,33.59,32.69
